claim_id,location,claim_type,claim_summary,evidence_ids,support_level,alignment_issue,limitation,requested_action
CLAIM-PERSIST,Abstract; Contribution 1; Results 'order signature survives',primary_outcome,"Endpoint order signature survives shared washout AMONG COMMITTED RESPONSES: conditional S paired -0.419, 9/10 seeds, p=0.0234; marginal U over all 24 prompts -0.079, 7/10, p=0.49 (undetected); exploratory joint Hotelling T2=56.55, p=0.0039",orderexp_matrix_v1-judge_labeled.csv;fact_sheet-codex-review-2026-08-22,supported,none,"estimand conditions on decisiveness, itself treatment-affected; shift chiefly exchanges provenance commitments for ambiguity; both estimands now reported in the paper",none - restricted claim landed 2026-08-22
CLAIM-FRAGMENT,Abstract; Contribution 2; Results 'interleaved',primary_outcome,"Interleaving fragments rather than averages: per-seed S -0.74..+0.57, p=0.0020 vs each sequential arm",orderexp_matrix_v1-judge_labeled.csv;fact_sheet-confirmatory-4;overdispersion-chi2-38.8,supported,none,seed co-varies init and shuffle realization (stated in text),
CLAIM-FORMAT,Contribution 3; Sec format,secondary_outcome,"Prose-trained policy content has zero leverage vs completion-supervised demos (43/43); same content as masked QA gains leverage (18/24, 22/24)",risks.md-21;risks.md-Phase-A-v2;control_evidence_log.csv,supported,none,pre-blind direct-read provenance now DISCLOSED in text (2026-08-21),none - disclosed
CLAIM-OVERWRITE,Abstract; Contribution 4; Results acquisition,secondary_outcome,"Complete sequential overwriting: 20/20 runs |S|=1.000 at conflict end, p=0.0020; 8-12 step timing (seed 3001 dense)",orderexp_matrix_v1-judge_labeled.csv;drift_seed3001_labeled.csv;fact_sheet-confirmatory-1-2,supported,none,timing from one densely checkpointed seed per arm (scoped in abstract and caption),
CLAIM-VCD,Results far-transfer,generalization,Likelihood-space disposition transfer: discovery 9/10 p=0.0039; pre-registered confirmation 10/10 one-sided p=0.001; risk direction failed p=0.24,vcd_pref_scores.csv;vcd_pref_confirmation.csv;fact_sheet-VCD,supported,none,enacted-choice far-transfer null (p=0.879) must be reported alongside (panel must-fix),Add enacted-choice dissociation to rewrite
CLAIM-SPECIFICITY,Results specificity,secondary_outcome,No condition structure on ETHICS-cm (0.476-0.481 vs base 0.506) or Moral Stories (0.535-0.541 vs 0.521),ethics_cm_scores.csv;moral_stories_scores.csv,supported,none,"bounded non-detection, not equivalence (panel should-fix wording)",
CLAIM-JUDGE,Design measurement; Limitations,secondary_outcome,"Judge validity: 300-row blind second pass kappa=0.876, raw 92.0%, zero cross-policy confusions",orderexp_matrix_v1-humanval_blind.csv;join-verified-2026-08-18,supported,none,both annotators Claude-family; human 60-row subsample pending,User labels annotator-2 sheet or keep weakened sentence
CLAIM-EQUIPOTENCE,Design equipotence gate,secondary_outcome,"Each pool alone installs its policy: 24/24 access, 23/24 provenance across 3 seeds each",risks.md-23,supported,none,pre-blind direct-read provenance now DISCLOSED in text; raw generations still uncommitted,optional: commit regenerated pool-only generations
CLAIM-ATTRIB,Abstract close; Conclusion,generalization,"By construction, a set-only view of a training corpus cannot represent the order variable that decided behavior here (stated as by-construction only)",logical-by-construction,supported,none,"empirical leg REMOVED 2026-08-22: the E4 influence probe failed its precommitted keep gate after the dropout defect was fixed (3/6 and 4/6); paragraph deleted, title softened from 'Evade' to 'Challenge'",none
CLAIM-MULTISAMPLE,"Results, washout paragraph (k=5 sentences)",secondary_outcome,"Endpoint persistence survives k=5 sampling: decisive counts per cell rise 1-19 to 39-76; paired diff -0.232, 8/10 seeds, p=0.0254, every pair clearing the >=5-decisive restriction",multisample_v1-judge_labeled.csv;fact_sheet-multisample-2026-08-21,supported,none,smaller magnitude than greedy (-0.419) as expected under temperature; greedy remains the pre-registered primary,none
CLAIM-FAMILY,"Results, replication paragraph; Appendix A",generalization,"Equipotence passes 4/4 families; all 50 sequential runs reverse to last-trained pole (43 exactly complete); persistence replicates in Qwen (-0.592, 5/5, p=0.031); SmolLM2/OLMo endpoints saturate",family_qwen_v1-judge_labeled.csv;family_smollm_v1-judge_labeled.csv;family_olmo_v1-judge_labeled.csv;fact_sheet-family-2026-08-21,supported,none,persistence measurable in only 2 of 4 families (2 saturated); washout drift is family-dependent and pool C neutrality validated on pythia only -- BOTH disclosed in the paper,none
CLAIM-JUDGE-XFAM,"Design, measurement paragraph; Limitations",secondary_outcome,WITHDRAWN. Cross-family judge invariance is NOT claimed: only 16 of 400 E8 rows are sequential post-washout and S flips +0.333 -> -0.111 within them; prompts blank in all 400,e8_labels.csv;e8_sample.jsonl;fact_sheet-E8-2026-08-21,not_assessed,none,"retained in the paper only as an artifact footnote, explicitly not task-validating",none - claim cut 2026-08-22
CLAIM-SFTORDER-POSITIONING,Introduction; Related work,generalization,"Novelty is policy SELECTION under conflicting equipotent data, not order sensitivity per se; prior SFT-order work (He 2025, Ju 2024) concerns how well a single target is learned",he2025righttime;ju2024imbalance;verified-ACL-anthology-2026-08-22,supported,none,both citations verified at source; intro gap claim narrowed accordingly,none
